st_code,pc_code,state,pc,no,name,party
S01,1,andhra pradesh,adilabad,1,godam nagesh,telangana rashtra samithi
S01,1,andhra pradesh,adilabad,2,naresh,INC
S01,1,andhra pradesh,adilabad,3,ramesh rathod,telugu desam
S01,1,andhra pradesh,adilabad,4,rathod sadashiv,bahujan samaj party
S01,1,andhra pradesh,adilabad,5,nethawath ramdas,independent
S01,1,andhra pradesh,adilabad,6,pawar krishna,independent
S01,1,andhra pradesh,adilabad,7,banka sahadev,independent
S01,1,andhra pradesh,adilabad,8,mosali chinnaiah,independent
S01,2,andhra pradesh,peddapalle,1,dr.janapati sarat babu,telugu desam
S01,2,andhra pradesh,peddapalle,2,tagaram shankar lal,bahujan samaj party
S01,2,andhra pradesh,peddapalle,3,balka suman,telangana rashtra samithi
S01,2,andhra pradesh,peddapalle,4,g. vivekanand,INC
S01,2,andhra pradesh,peddapalle,5,kalvala shankar,pyramid party of india
S01,2,andhra pradesh,peddapalle,6,kalvala sanjeev,republican party of india
S01,2,andhra pradesh,peddapalle,7,botha venkata mallaiah,b. c. united front
S01,2,andhra pradesh,peddapalle,8,j.v. raju,new india party
S01,2,andhra pradesh,peddapalle,9,venkata swamy injam,mahajana socialist party
S01,2,andhra pradesh,peddapalle,10,velthuru mallaiah,republican paksha (khoripa)
S01,2,andhra pradesh,peddapalle,11,kamilla jaya rao,independent
S01,2,andhra pradesh,peddapalle,12,gaddala vinay kumar,independent
S01,2,andhra pradesh,peddapalle,13,gorre ramesh,independent
S01,2,andhra pradesh,peddapalle,14,jinna ramadevi,independent
S01,2,andhra pradesh,peddapalle,15,thallapalli srinivas,independent
S01,2,andhra pradesh,peddapalle,16,bupelli narayana,independent
S01,2,andhra pradesh,peddapalle,17,moutam ravinder,independent
S01,3,andhra pradesh,karimnagar,1,chennamaneni vidya sagar rao,bharatiya janata party
S01,3,andhra pradesh,karimnagar,2,ponnam prabhakar,INC
S01,3,andhra pradesh,karimnagar,3,burla ravi,nationalist congress party
S01,3,andhra pradesh,karimnagar,4,byagari laxman,bahujan samaj party
