candidate,constituency,criminal_cases,education,id,party,total_assets,total_liabilities,year
prakash taterao landge,nanded,0,Graduate,2557,IND,50000,0,2004
devkatte venkatrao narsingrao,nanded,0,Graduate,2555,RSPS,0,0,2004
a ansari,chirayinkil,0,10th Pass,1860,IND,110000,0,2004
a c jose,trichur,0,Post Graduate,1968,INC,6373035,684351,2004
a c varkey,calicut,1,Not Given,1836,IND,30000,21530,2004
a k biswas,andaman & nicobar islands,0,Graduate,7,BSP,7876500,65000,2004
a k subbaiah,mangalore,0,Graduate,1787,JD(S),8150000,1000000,2004
a s guruswamy,mysore,0,Post Graduate,1790,JD(S),6995093,120000,2004
a siddaraju,chamarajanagar,0,Post Graduate,1685,INC,2164500,300000,2004
a v k moosad,calicut,0,10th Pass,1845,IND,616403,368,2004
a. b. a. ghani khan choudhury,malda,1,Graduate,5339,INC,4115704,4187744,2004
a. c  v. subbaiah,nandyal,0,Graduate,168,BSP,100000,0,2004
a. f. golam osmani,barpeta,0,Graduate Professional,313,INC,1005000,0,2004
a. jagan mohan rao,anantapur,0,Graduate,30,TRS,505000,0,2004
a. k. roy,dhanbad,1,Post Graduate,1477,MCO,76803,0,2004
a. narendra,medak,0,Graduate,140,TRS,2020000,500000,2004
a. r. antulay,kolaba,0,5th Pass,2437,IND,58000,0,2004
a. r. antulay,kolaba,0,Graduate Professional,2434,INC,28468000,0,2004
a. rasheed mamu,dahanu,0,10th Pass,2381,RSNP,2107352,0,2004
a.malla rao,chittoor,0,Others,49,TRS,355000,0,2004
a.nageswara rao,nalgonda,0,Graduate,160,PPOI,645000,0,2004
a.venkatesh naik,raichur,0,12th Pass,1794,INC,5615514,447987,2004
aadil khan,chhindwara,0,5th Pass,2060,IND,100000,0,2004
aaju ram chandravanshi,rajnandgaon,0,Not Given,980,IND,1942442,25000,2004
aari noormohd kasimsahab,bagalkot,0,Not Given,1644,BSP,280000,0,2004
aaron rashid j. m.,periyakulam,0,10th Pass,3587,INC,152098686,2253320,2004
aarti mehta,mumbai north west,0,Graduate,2514,IND,15600000,0,2004
aashutosh kumar singh,aurangabad,0,10th Pass,451,IND,807000,90000,2004
ab. majeed naikoo,anantnag,0,Illiterate,1381,IND,0,0,2004
abdul jalil mastan,kishanganj,0,12th Pass,653,SP,1378489,202500,2004
abdul majed qureshi alias kaiser qureshi,aurangabad,0,10th Pass,2317,NLP,80000,0,2004
abdul majeed master,trichur,0,Graduate,1974,IND,1755154,43550,2004
abdul malik choudhry,mumbai south central,0,8th Pass,2531,BSP,110000,14500,2004
abdul rashid lone,srinagar,0,Literate,1435,IND,0,0,2004
abdul rashid shaheen,baramulla,0,Post Graduate,1390,JKN,17174843,1056615,2004
abdul sattar mohammedsab attar,mumbai north east,0,Not Given,2500,KKJHS,580000,0,2004
abdur rauf baidya,diamond harbour,1,Not Given,5233,IND,76165,0,2004
abdus  salam,barpeta,0,Not Given,319,LJNSP,160000,0,2004
abdus samad ahmed,barpeta,1,Doctorate,317,UMFA,1040000,0,2004
abdus sattar mujahed,secunderabad,0,Not Given,231,MUL,80000,0,2004
abdus sayeed,jangipur,0,10th Pass,5301,IND,578826,0,2004
abedin dr. zainal,raiganj,0,Doctorate,5398,AITC,1624216,0,2004
abeed hussain,koppal,0,10th Pass,1777,KNDP,1480000,0,2004
abha mahto,jamshedpur,0,Graduate,1543,BJP,6616966,443377,2004
abhay raj kishor rai,chapra,2,10th Pass,561,BSP,651500,103000,2004
abhay singh chautala,kurukshetra,0,Graduate,1273,INLD,38101844,0,2004
abhimanyu,rohtak,0,Graduate,1302,BJP,44375405,0,2004
abhiram besra,bankura,0,Illiterate,5111,JDP,100000,0,2004
abu asim siddique,jangipur,0,Graduate,5304,IND,15000,0,2004
abul hasnat khan,jangipur,0,Post Graduate,5297,CPM,2846652,934387,2004
achal singh,fatehpur,0,Post Graduate,4279,SP,1905000,0,2004
achankovil rajan,adoor,0,12th Pass,1817,BSP,20000,0,2004
achanta bapiraju,secunderabad,0,Graduate,234,IND,281447,0,2004
acharia basudeb,bankura,0,Post Graduate,5104,CPM,1708375,0,2004
achintya majhi,vishnupur,0,Graduate,5433,INC,67264,50050,2004
achintya tarafdar,raiganj,0,Graduate,5403,IND,311000,0,2004
ad. brijmohan kushwaha,khajuraho,0,Post Graduate,2141,BSP,842500,0,2004
adagale bhau ramchandra,pune,0,10th Pass,2619,IND,105000,0,2004
adapala sivannarayana,machilipatnam,0,Others,132,PPOI,298906,0,2004
adhalarao patil shivajirao,khed,0,Post Graduate,2428,SHS,52230281,12332651,2004
adhar chandra nahal,contai,0,Not Given,5208,IND,27000,0,2004
adhikari suvendu,tamluk,4,Graduate,5416,AITC,6352353,0,2004
adhikary binoy,dum dum,0,Literate,5248,IND,635900,81284,2004
adhir ranjan chowdhury,berhampore,3,10th Pass,5143,INC,19395174,0,2004
aditya nath,gorakhpur,0,Graduate,4361,BJP,960672,0,2004
adsul anandrao vithoba,buldhana,2,Graduate,2341,SHS,20630019,6111246,2004
adv  baburao bandgar,latur,0,Post Graduate,2459,LRP,800000,127000,2004
adv g muraleedharan nadar,trivandrum,0,Others,1979,IND,10500,135000,2004
adv naiknavare purushottam bhagvan,pandharpur,0,Not Given,2587,RSPS,3926538,55319,2004
adv p c thomas,muvattupuzha,0,Others,1930,IND,5792358,1232406,2004
adv p m ismail,muvattupuzha,2,Graduate,1926,CPM,1824407,0,2004
adv s prahaladan,quilon,0,Not Given,1962,BSP,1211000,93359,2004
adv saji k cheraman,mavelikara,0,Others,1912,BSP,67194,0,2004
adv t k manoj,mukundapuram,0,Others,1923,BSP,10200,0,2004
adv v balakrishna shetty,kasaragod,1,Post Graduate,1888,BJP,3372885,24372,2004
adv v balaram,calicut,0,Graduate Professional,1834,INC,4605641,1157438,2004
adv v c zachariah,mavelikara,0,Others,1913,SLAP,3131206,1360,2004
adv.  laxman narhari shinde,latur,0,Graduate Professional,2456,BSP,655000,0,2004
adv. amin solkar,mumbai south,0,Post Graduate,2522,SP,1075000,0,2004
adv. c. s. baheti,nanded,0,Post Graduate,2559,JP,3105500,1642400,2004
adv. chintaman wanga,dahanu,1,Graduate Professional,2378,BJP,1311506,50000,2004
adv. dadasaheb alias bhikaji walthare,chimur,0,Post Graduate,2366,BBM,528886,0,2004
adv. deelip prabhakarrao kulkarni,nanded,0,Post Graduate,2560,IND,1028800,0,2004
adv. eknath bavankar,chimur,0,Post Graduate,2369,SP,119930,0,2004
adv. kamble prabhakar mansing,karad,0,Post Graduate,2425,BSP,532498,0,2004
adv. pankaj kowli,ratnagiri,0,Post Graduate,2640,PWPI,1507000,0,2004
adv. punjabrao ramdhan chavan,hingoli,0,Post Graduate,2395,IND,0,0,2004
adv. ramesh sakharam naik,panaji,0,Graduate Professional,1029,IND,2974500,420000,2004
adv. suhase madhukar mallappa,sangli,0,Post Graduate,2646,BSP,75000,0,2004
adv. t b mini,ernakulam,0,Post Graduate,1870,IND,260900,0,2004
adv. thengri natthuji narayan,chimur,0,Post Graduate,2375,RLD,1200184,77090,2004
adv. vasantrao jeevanrao more,erandol,1,Graduate Professional,2387,NCP,15846533,1823686,2004
advocate ghulam nabi lone,srinagar,0,Post Graduate,1427,JKPDP,364000,417458,2004
advocate j r padmakumar,chirayinkil,1,Post Graduate,1858,BJP,2475683,328960,2004
advocate jacob john,kottayam,0,Graduate,1899,BSP,500000,0,2004
advocate s. k. dubey,mumbai north east,0,Post Graduate,2497,SP,5324181,0,2004
advocate v padmanabhan,alleppey,0,Post Graduate,1821,BJP,1060214,12000,2004
afajal ansari,ghazipur,1,Post Graduate,4307,SP,5085464,38022,2004
afroz ali khan,rampur,0,Not Given,4837,BSP,3290000,450537,2004
afzalur rahman,dhubri,0,Graduate,323,AGP,3328400,523000,2004
