pc_name,no,type,state,candidate_name,party,electors,votes,turnout,margin,margin%,year
Adilabad,36,GEN,Andhra Pradesh,G. Narayan Reddy,INC,404283,220383,54.5,89085,40.4,1962
Adoni,27,GEN,Andhra Pradesh,Pendekanti Venkatasubbaiah,INC,419077,252379,60.2,33022,13.1,1962
Agra,433,GEN,Uttar Pradesh  ,Seth Achal Singh,INC,433164,275663,63.6,54351,19.7,1962
Ahmedabad,120,GEN,Gujarat,Indulal Kanaiyalal Yagnik,nutan maha gujarat janta parisha,433392,270346,62.4,21592,8.0,1962
Ahmednagar,245,GEN,Maharashtra,Motilal Kundanmal Firodya,INC,403913,222091,55.0,14038,6.3,1962
Ajmer,346,GEN,Rajasthan,Mukatbehari Lal,INC,432778,241488,55.8,32143,13.3,1962
Akbarpur,386,SC,Uttar Pradesh  ,Panna Lal,INC,430435,216781,50.4,45246,20.9,1962
Akola,254,GEN,Maharashtra,Mohammad Mohibbul Haq Mohammad Anwarul Haqm,INC,450141,303530,67.4,47169,15.5,1962
Aligarh,436,GEN,Uttar Pradesh  ,B. P. Maurya,republican party,466414,255696,54.8,3025,1.2,1962
Allahabad,416,GEN,Uttar Pradesh  ,Lal Bahadur Shastri,INC,446090,245210,55.0,68533,27.9,1962
Almora,362,GEN,Uttar Pradesh  ,Jang Bahadur Singh,INC,401359,109588,27.3,26998,24.6,1962
Alwar,342,GEN,Rajasthan,Kashi Ram,independent,451563,283094,62.7,23116,8.2,1962
Amalapruam,9,SC,Andhra Pradesh,Bayya Suryanarayana Murthy,INC,478247,336739,70.4,12570,3.7,1962
Ambala,318,SC,Punjab,Chuni Lal,INC,439952,271449,61.7,35834,13.2,1962
Ambalapuzha,143,GEN,Kerala,P. K. Vasudevan Nair,communist party of india,445802,334846,75.1,11233,3.4,1962
Amravati,255,GEN,Maharashtra,Panjabrao Shamrao Deshmukh,INC,475329,349649,73.6,60372,17.3,1962
Amreli,114,GEN,Gujarat,Jayaben Vajubhai Shah,INC,418212,226282,54.1,65018,28.7,1962
Amritsar,332,GEN,Punjab,Gurmukh Singh,INC,457869,322823,70.5,14416,4.5,1962
Amroha,365,GEN,Uttar Pradesh  ,Hifzul Rahman,INC,423038,235491,55.7,17192,7.3,1962
Anakapalli,5,GEN,Andhra Pradesh,Missula Suryanarayanamurthy,INC,427862,265407,62.0,16010,6.0,1962
Anand,122,GEN,Gujarat,Kumar Narendrasinh Ranjitsinh Mahida,swatantra,472873,326364,69.0,22729,7.0,1962
