candidate_id,candidate_name,pc_name,party,education,edu_level,criminal_cases,total_assets,total_liabilities,net_worth,year,asset_tier
1,prakash taterao landge,nanded,ind,graduate,6,0,50000,0,50000,2004,Low (<5L)
2,devkatte venkatrao narsingrao,nanded,rsps,graduate,6,0,0,0,0,2004,Low (<5L)
3,a ansari,chirayinkil,ind,10th pass,4,0,110000,0,110000,2004,Low (<5L)
4,a c jose,trichur,inc,post graduate,8,0,6373035,684351,5688684,2004,High (50L–5Cr)
5,a c varkey,calicut,ind,not given,6,1,30000,21530,8470,2004,Low (<5L)
6,a k biswas,andaman & nicobar islands,bsp,graduate,6,0,7876500,65000,7811500,2004,High (50L–5Cr)
7,a k subbaiah,mangalore,jd(s),graduate,6,0,8150000,1000000,7150000,2004,High (50L–5Cr)
8,a s guruswamy,mysore,jd(s),post graduate,8,0,6995093,120000,6875093,2004,High (50L–5Cr)
9,a siddaraju,chamarajanagar,inc,post graduate,8,0,2164500,300000,1864500,2004,Medium (5L–50L)
10,a v k moosad,calicut,ind,10th pass,4,0,616403,368,616035,2004,Medium (5L–50L)
11,a. b. a. ghani khan choudhury,malda,inc,graduate,6,1,4115704,4187744,-72040,2004,Medium (5L–50L)
12,a. c  v. subbaiah,nandyal,bsp,graduate,6,0,100000,0,100000,2004,Low (<5L)
13,a. f. golam osmani,barpeta,inc,graduate professional,7,0,1005000,0,1005000,2004,Medium (5L–50L)
14,a. jagan mohan rao,anantapur,trs,graduate,6,0,505000,0,505000,2004,Medium (5L–50L)
15,a. k. roy,dhanbad,mco,post graduate,8,1,76803,0,76803,2004,Low (<5L)
16,a. narendra,medak,trs,graduate,6,0,2020000,500000,1520000,2004,Medium (5L–50L)
17,a. r. antulay,kolaba,ind,5th pass,2,0,58000,0,58000,2004,Low (<5L)
18,a. rasheed mamu,dahanu,rsnp,10th pass,4,0,2107352,0,2107352,2004,Medium (5L–50L)
19,a.malla rao,chittoor,trs,others,5,0,355000,0,355000,2004,Low (<5L)
20,a.nageswara rao,nalgonda,ppoi,graduate,6,0,645000,0,645000,2004,Medium (5L–50L)
21,a.venkatesh naik,raichur,inc,12th pass,5,0,5615514,447987,5167527,2004,High (50L–5Cr)
22,aadil khan,chhindwara,ind,5th pass,2,0,100000,0,100000,2004,Low (<5L)
