constituency_id,pc_name,state,st_code,type,region
1,adilabad,andhra pradesh,S01,GEN,South
2,adoni,andhra pradesh,,GEN,South
3,agra,uttar pradesh,S24,GEN,North
4,ahmedabad,gujarat,,GEN,West
5,ahmednagar,maharashtra,,GEN,West
6,ajmer,rajasthan,S20,GEN,West
7,akbarpur,uttar pradesh,S24,SC,North
8,akola,maharashtra,S13,GEN,West
9,aligarh,uttar pradesh,S24,GEN,North
10,allahabad,uttar pradesh,S24,GEN,North
11,almora,uttar pradesh,,GEN,North
12,alwar,rajasthan,S20,GEN,West
13,amalapruam,andhra pradesh,,SC,South
14,ambala,punjab,,SC,North
15,ambalapuzha,kerala,,GEN,South
16,amravati,maharashtra,S13,GEN,West
17,amreli,gujarat,S06,GEN,West
18,amritsar,punjab,S19,GEN,North
19,amroha,uttar pradesh,S24,GEN,North
20,anakapalli,andhra pradesh,S01,GEN,South
21,anand,gujarat,S06,GEN,West
22,anantpur,andhra pradesh,,GEN,South
23,aruppukkottai,madras,,GEN,Other
24,asansol,west bengal,S25,GEN,East
25,aurangabad,bihar,S04,GEN,East
26,aurangabad,maharashtra,S13,GEN,West
27,ausgram,west bengal,,SC,East
28,autonomous districts,assam,,ST,East
29,azamgarh,uttar pradesh,S24,GEN,North
30,badagara,kerala,,GEN,South
31,bagaha,bihar,,GEN,East
32,bahraich,uttar pradesh,S24,GEN,North
33,balaghat,madhya pradesh,S12,GEN,Central
34,balasore,odisha,,GEN,East
35,ballia,uttar pradesh,S24,GEN,North
36,baloda bazar,madhya pradesh,,SC,Central
37,balrampur,uttar pradesh,,GEN,North
38,balurghat,west bengal,S25,ST,East
39,banaskantha,gujarat,S06,GEN,West
40,banda,uttar pradesh,S24,GEN,North
41,bangalore city,mysore,,GEN,Other
42,banglore,mysore,,GEN,Other
43,banka,bihar,S04,GEN,East
44,bankura,west bengal,S25,GEN,East
45,bansgaon,uttar pradesh,S24,SC,North
46,bansi,uttar pradesh,,SC,North
47,banswara,rajasthan,S20,ST,West
48,bara banki,uttar pradesh,,GEN,North
49,baramati,maharashtra,S13,GEN,West
50,barasat,west bengal,S25,GEN,East
51,bareilly,uttar pradesh,S24,GEN,North
52,barh,bihar,,GEN,East
53,barmer,rajasthan,S20,GEN,West
54,baroda,gujarat,,GEN,West
55,barpeta,assam,S03,GEN,East
56,barrackpore,west bengal,S25,GEN,East
57,basirhat,west bengal,S25,GEN,East
58,bastar,madhya pradesh,,ST,Central
59,basti,uttar pradesh,S24,GEN,North
60,begusarai,bihar,S04,GEN,East
61,belgaum,mysore,,GEN,Other
62,bellary,mysore,,GEN,Other
63,berhampur,west bengal,,GEN,East
64,bettiah,bihar,,SC,East
65,bhadrak,odisha,,SC,East
66,bhagalpur,bihar,S04,GEN,East
67,bhandara,maharashtra,S13,GEN,West
68,bhanjanagar,odisha,,SC,East
69,bharatpur,rajasthan,S20,GEN,West
70,bhatinda,punjab,,SC,North
71,bhavnagar,gujarat,S06,GEN,West
72,bhilwara,rajasthan,S20,GEN,West
73,bhind,madhya pradesh,S12,SC,Central
74,bhir,maharashtra,,GEN,West
75,bhiwandi,maharashtra,S13,ST,West
76,bhopal,madhya pradesh,S12,GEN,Central
77,bhubaneswar,odisha,,GEN,East
78,bidar,mysore,,SC,Other
79,bijapur north,mysore,,GEN,Other
80,bijapur south,mysore,,GEN,Other
81,bijnor,uttar pradesh,S24,GEN,North
82,bikaner,rajasthan,S20,GEN,West
83,bikramganj,bihar,,GEN,East
84,bilaspur,madhya pradesh,,GEN,Central
85,bilhaur,uttar pradesh,,GEN,North
86,birbhum,west bengal,S25,SC,East
87,bisauli,uttar pradesh,,GEN,North
88,bolangir,odisha,,SC,East
89,bombay city central north,maharashtra,,SC,West
90,bombay city central south,maharashtra,,GEN,West
91,bombay city north,maharashtra,,GEN,West
92,bombay city south,maharashtra,,GEN,West
93,broach,gujarat,,GEN,West
94,budaun,uttar pradesh,,GEN,North
95,bulandsahar,uttar pradesh,,GEN,North
96,buldana,maharashtra,,GEN,West
97,bulsar,gujarat,,ST,West
98,burdwan,west bengal,S25,GEN,East
99,buxar,bihar,S04,GEN,East
100,cachar,assam,,GEN,East
101,calcutta central,west bengal,,GEN,East
102,calcutta east,west bengal,,GEN,East
103,calcutta north west,west bengal,,GEN,East
104,calcutta south west,west bengal,,GEN,East
105,chail,uttar pradesh,,SC,North
106,chamarajanagar,mysore,,SC,Other
107,chamba,himachal pradesh,,GEN,North
108,chanda,maharashtra,,GEN,West
109,chandauli,uttar pradesh,S24,GEN,North
110,chandni chowk,delhi,,GEN,North
111,chapra,bihar,,GEN,East
112,chatra,bihar,,GEN,East
113,chatrapur,odisha,,GEN,East
114,cheepurupalli,andhra pradesh,,GEN,South
115,chhindwara,madhya pradesh,S12,GEN,Central
116,chidambaram,madras,,GEN,Other
117,chikballapur,mysore,,GEN,Other
118,chikodi,mysore,,GEN,Other
119,chingleput,madras,,GEN,Other
120,chirayinkil,kerala,,GEN,South
121,chitradurga,mysore,,GEN,Other
122,chittor,andhra pradesh,,GEN,South
123,chittorgarh,rajasthan,S20,GEN,West
124,coimbatore,madras,,GEN,Other
125,contai,west bengal,,GEN,East
126,cooch behar,west bengal,S25,SC,East
127,cuddalore,madras,,GEN,Other
128,cuddapah,andhra pradesh,,GEN,South
129,cuttack,odisha,,GEN,East
130,dahod,gujarat,S06,SC,West
131,daimond harbour,west bengal,,GEN,East
132,damoh,madhya pradesh,S12,SC,Central
133,darbhanga,bihar,S04,GEN,East
134,darjeeling,west bengal,S25,GEN,East
135,darrang,assam,,GEN,East
136,dausa,rajasthan,S20,GEN,West
137,dehra dun,uttar pradesh,,GEN,North
138,delhi sadar,delhi,,GEN,North
139,deoria,uttar pradesh,S24,GEN,North
140,dewas,madhya pradesh,S12,SC,Central
141,dhanbad,bihar,,GEN,East
142,dharwar north,mysore,,GEN,Other
143,dharwar south,mysore,,GEN,Other
144,dhenkanal,odisha,,GEN,East
145,dhubri,assam,S03,GEN,East
146,dhulia,maharashtra,,GEN,West
147,dibrugarh,assam,S03,GEN,East
148,dindigul,madras,,GEN,Other
149,domariaganj,uttar pradesh,,GEN,North
150,dumka,bihar,,ST,East
151,durg,madhya pradesh,,GEN,Central
152,eluru,andhra pradesh,S01,GEN,South
153,ernakulam,kerala,S11,GEN,South
154,erode,madras,,GEN,Other
155,etah,uttar pradesh,S24,GEN,North
156,etawah,uttar pradesh,S24,GEN,North
157,faizabad,uttar pradesh,S24,GEN,North
158,farrukhabad,uttar pradesh,S24,GEN,North
159,fatehpur,uttar pradesh,S24,GEN,North
160,ferozepur,punjab,,GEN,North
161,firozabad,uttar pradesh,S24,GEN,North
162,gadwal,andhra pradesh,,GEN,South
163,ganganagar,rajasthan,S20,SC,West
164,garhwal,uttar pradesh,,GEN,North
165,gauhati,assam,S03,GEN,East
166,gaya,bihar,,GEN,East
167,gazipur,uttar pradesh,,GEN,North
168,ghatal,west bengal,S25,GEN,East
169,ghatampur,uttar pradesh,,SC,North
170,ghosi,uttar pradesh,S24,GEN,North
171,giridih,bihar,,GEN,East
172,goalpara,assam,,ST,East
173,godda,bihar,,GEN,East
174,gohichettipalayam,madras,,GEN,Other
175,gonda,uttar pradesh,S24,GEN,North
176,gondia,maharashtra,,SC,West
177,gopalganj,bihar,,GEN,East
178,gorakhpur,uttar pradesh,S24,GEN,North
179,gudivada,andhra pradesh,,GEN,South
180,gulbarga,mysore,,GEN,Other
181,guna,madhya pradesh,S12,GEN,Central
182,guntur,andhra pradesh,S01,GEN,South
183,gurdaspur,punjab,S19,GEN,North
184,gurgaon,punjab,,GEN,North
185,gwalior,madhya pradesh,S12,GEN,Central
186,hajipur,bihar,,GEN,East
187,hamirpur,uttar pradesh,S24,GEN,North
188,hapur,uttar pradesh,,GEN,North
189,hardoi,uttar pradesh,S24,SC,North
190,hassan,mysore,,GEN,Other
191,hata,uttar pradesh,,GEN,North
192,hatkanangle,maharashtra,S13,SC,West
193,hatras,uttar pradesh,,SC,North
194,hazari bagh,bihar,,GEN,East
195,hindaun,rajasthan,,GEN,West
196,hindupur,andhra pradesh,S01,GEN,South
197,hissar,punjab,,GEN,North
198,hooghly,west bengal,S25,GEN,East
199,hoshangabad,madhya pradesh,S12,GEN,Central
200,hoshiarpur,punjab,S19,GEN,North
201,howrah,west bengal,S25,GEN,East
202,hydrabad,andhra pradesh,,GEN,South
203,indore,madhya pradesh,S12,GEN,Central
204,inner manipur,manipur,S14,GEN,East
205,jabalpur,madhya pradesh,S12,GEN,Central
206,jahanabad,bihar,S04,GEN,East
207,jainagar,bihar,,GEN,East
208,jaipur,rajasthan,S20,GEN,West
209,jajpur,odisha,,SC,East
210,jalaun,uttar pradesh,S24,SC,North
211,jalesar,uttar pradesh,,GEN,North
212,jalgaon,maharashtra,S13,GEN,West
213,jalna,maharashtra,S13,GEN,West
214,jalore,rajasthan,S20,GEN,West
215,jalpaiguri,west bengal,S25,GEN,East
216,jamnagar,gujarat,S06,GEN,West
217,jamshedpur,bihar,,GEN,East
218,jamui,bihar,,SC,East
219,janjgir,madhya pradesh,,GEN,Central
220,jaunpur,uttar pradesh,S24,GEN,North
221,jhabua,madhya pradesh,,ST,Central
222,jhajjar,punjab,,GEN,North
223,jhalawar,rajasthan,S20,GEN,West
224,jhansi,uttar pradesh,S24,GEN,North
225,jhargram,west bengal,S25,ST,East
226,jhunjhunu,rajasthan,S20,GEN,West
227,jodhpur,rajasthan,S20,GEN,West
228,jorhat,assam,S03,GEN,East
229,joynagar,west bengal,S25,SC,East
230,jullundur,punjab,,GEN,North
231,junagadh,gujarat,S06,GEN,West
232,kaimganj,uttar pradesh,,GEN,North
233,kaira,gujarat,,GEN,West
234,kairana,uttar pradesh,S24,GEN,North
235,kaisarganj,uttar pradesh,,GEN,North
236,kaithal,punjab,,GEN,North
237,kakinada,andhra pradesh,S01,GEN,South
238,kalahandi,odisha,,GEN,East
239,kanara,mysore,,GEN,Other
240,kangra,punjab,,GEN,North
241,kanpur,uttar pradesh,S24,GEN,North
242,karad,maharashtra,,GEN,West
243,karimganj,assam,S03,SC,East
244,karimnagar,andhra pradesh,S01,GEN,South
245,karnal,punjab,,GEN,North
246,karol bagh,delhi,,SC,North
247,karur,madras,,GEN,Other
248,kasergod,kerala,,GEN,South
249,katihar,bihar,S04,GEN,East
250,katwa,west bengal,,GEN,East
251,kavali,andhra pradesh,,GEN,South
252,kendrapara,odisha,,GEN,East
253,keonjhar,odisha,,GEN,East
254,kesaria,bihar,,GEN,East
255,khagaria,bihar,S04,GEN,East
256,khajuraho,madhya pradesh,S12,GEN,Central
257,khamgaon,maharashtra,,SC,West
258,khammam,andhra pradesh,S01,GEN,South
259,khandwa,madhya pradesh,S12,GEN,Central
260,khargone,madhya pradesh,S12,GEN,Central
261,khed,maharashtra,,GEN,West
262,kheri,uttar pradesh,S24,GEN,North
263,khurja,uttar pradesh,,SC,North
264,kishanganj,bihar,S04,GEN,East
265,koilpatti,madras,,SC,Other
266,kolaba,maharashtra,,GEN,West
267,kolar,mysore,,SC,Other
268,kolhapur,maharashtra,S13,GEN,West
269,kopargaon,maharashtra,,GEN,West
270,koppal,mysore,,GEN,Other
271,koraput,odisha,,ST,East
272,kotah,rajasthan,,SC,West
273,kottayam,kerala,S11,GEN,South
274,kozhikode,kerala,S11,GEN,South
275,krishnagiri,madras,,GEN,Other
276,kumbakonam,madras,,GEN,Other
277,kurnool,andhra pradesh,S01,GEN,South
278,kutch,gujarat,,GEN,West
279,lalganj,uttar pradesh,S24,SC,North
280,latur,maharashtra,S13,SC,West
281,lohardaga,bihar,,ST,East
282,lucknow,uttar pradesh,S24,GEN,North
283,ludhiana,punjab,S19,GEN,North
284,machhlishahr,uttar pradesh,S24,SC,North
285,madhubani,bihar,S04,GEN,East
286,madras north,madras,,GEN,Other
287,madras south,madras,,GEN,Other
288,madurai,madras,,GEN,Other
289,maharajganj,bihar,S04,GEN,East
290,maharajganj,uttar pradesh,S24,GEN,North
291,mahasamund,madhya pradesh,,GEN,Central
292,mahasu,himachal pradesh,,GEN,North
293,mahbubabad,andhra pradesh,,GEN,South
294,mahbubnagar,andhra pradesh,S01,SC,South
295,mahendragarh,punjab,,GEN,North
296,mahua,bihar,,SC,East
297,mainpuri,uttar pradesh,S24,GEN,North
298,malda,west bengal,,GEN,East
299,malegaon,maharashtra,,GEN,West
300,mandi,himachal pradesh,S08,GEN,North
301,mandla,madhya pradesh,S12,ST,Central
302,mandsaur,madhya pradesh,,GEN,Central
303,mandvi,gujarat,,ST,West
304,mandya,mysore,,GEN,Other
305,mangalore,mysore,,GEN,Other
306,manjeri,kerala,,GEN,South
307,markapur,andhra pradesh,,GEN,South
308,marodabad,uttar pradesh,,GEN,North
309,masulipatnam,andhra pradesh,,GEN,South
310,mathura,uttar pradesh,S24,GEN,North
311,mathurapur,west bengal,S25,SC,East
312,mavilekara,kerala,,SC,South
313,mayuram,madras,,SC,Other
314,mayurbhanj,odisha,,ST,East
315,medak,andhra pradesh,S01,GEN,South
316,mehsana,gujarat,,GEN,West
317,melur,madras,,SC,Other
318,merut,uttar pradesh,,GEN,North
319,midnapur,west bengal,,GEN,East
320,miraj,maharashtra,,GEN,West
321,miryalguda,andhra pradesh,,SC,South
322,mirzapur,uttar pradesh,S24,GEN,North
323,misrikh,uttar pradesh,S24,SC,North
324,moga,punjab,,SC,North
325,mohanlalganj,uttar pradesh,S24,SC,North
326,monghyr,bihar,,GEN,East
327,motihari,bihar,,SC,East
328,mukundapuram,kerala,,GEN,South
329,murshidabad,west bengal,S25,GEN,East
330,musafirkhana,uttar pradesh,,GEN,North
331,muvattupuzha,kerala,,GEN,South
332,muzaffarnagar,uttar pradesh,S24,GEN,North
333,muzaffarpur,bihar,S04,GEN,East
334,mysore,mysore,,GEN,Other
335,nagapattinam,madras,,GEN,Other
336,nagaur,rajasthan,S20,GEN,West
337,nagercoil,madras,,GEN,Other
338,nagpur,maharashtra,S13,GEN,West
339,naini tal,uttar pradesh,,GEN,North
340,nalanda,bihar,S04,GEN,East
341,nalgonda,andhra pradesh,S01,GEN,South
342,namakkal,madras,,SC,Other
343,nanded,maharashtra,S13,GEN,West
