party_id,party,party_type,alliance
1,-,Regional,Other/None
2,aam aadmi party,Regional,Other/None
3,akali dal,Regional,Other/None
4,akali dal - sant fateh singh group,Regional,Other/None
5,akhil bharatiya hindu mahasabha,Regional,Other/None
6,akhil bharatiya ram rajya parishad,Regional,Other/None
7,akhil bhartiya lok tantrik congress,Regional,Other/None
8,all india anna dravida munnetra kazhagam,Regional,Other/None
9,all india forward bloc,Regional,Other/None
10,all india indira congress (secular),Regional,Other/None
11,all india indira congress (tiwari),Regional,Other/None
12,all india jharkhand party,Regional,Other/None
13,all india majlis-e-ittehadul muslimeen,Regional,Other/None
14,all india majlis-e-ittehadul muslimoon,Regional,Other/None
15,all india n.r. congress,Regional,Other/None
16,all india rashtriya janata party,Regional,Other/None
17,all india trinamool congress,Regional,Other/None
18,all india united democratic front,Regional,Other/None
19,all jharkhand students union,Regional,Other/None
20,all party hill leaders conference,Regional,Other/None
21,allindia majlis-e ithehad-ul-mulimeen,Regional,Other/None
22,apna dal,Regional,Other/None
23,apna dal (soneylal),Regional,Other/None
24,arunachal congress,Regional,Other/None
25,asom gana parisad,Regional,Other/None
26,assam united democratic front,Regional,Other/None
27,autonomous state demand committee,Regional,Other/None
28,bahujan samaj party,Regional,Other/None
29,bahujan vikas aaghadi,Regional,Other/None
30,bangla congress,Regional,Other/None
31,bharatiya kranti dal,Regional,Other/None
32,bharatiya lok dal,Regional,Other/None
33,bharatiya navshakti party,Regional,Other/None
34,bharipa bahujan mahasangh,Regional,Other/None
35,bhartiya jan sangh,Regional,Other/None
36,biju janata dal,Regional,Other/None
37,bjp,National,NDA
38,bodaland peoples front,Regional,Other/None
39,communist party of india,Regional,Other/None
40,communist party of india (marxist),Regional,Other/None
41,communist party of india (marxist-leninist) (liberation),Regional,Other/None
42,dravida munetra kazhagam,Regional,Other/None
43,forward bloc,Regional,Other/None
44,forward block,Regional,Other/None
45,ganatantra parishad,Regional,Other/None
46,gorkha national liberation front,Regional,Other/None
47,haryana janhit congress (bl),Regional,Other/None
48,haryana lok dal (rastriya),Regional,Other/None
49,haryana lok samiti,Regional,Other/None
50,haryana vikas party,Regional,Other/None
51,hill leaders conference,Regional,Other/None
52,himachal vikash congress,Regional,Other/None
53,inc,National,UPA
54,independent,Regional,Other/None
55,indian congress (j),Regional,Other/None
56,indian congress (socialist),Regional,Other/None
57,indian congress (socialist- sarat chandra sinha),Regional,Other/None
58,indian federal democratic party,Regional,Other/None
59,indian national congress (i),Regional,Other/None
60,indian national congress (organisation),Regional,Other/None
61,indian national congress (u),Regional,Other/None
62,indian national lok dal,Regional,Other/None
63,indian peoples front,Regional,Other/None
64,indian union muslim league,Regional,Other/None
65,jammu & kashmir national conference,Regional,Other/None
66,jammu & kashmir peoples democratic party,Regional,Other/None
67,jan sangh,Regional,Other/None
68,jana kranti dal,Regional,Other/None
69,janata dal,Regional,Other/None
70,janata dal (gujrat),Regional,Other/None
71,janata dal (secular),Regional,Other/None
72,janata dal (united),Regional,Other/None
73,janta party,Regional,Other/None
74,janta party (secular),Regional,Other/None
75,jharkhand mukti morcha,Regional,Other/None
76,jharkhand party,Regional,Other/None
77,jharkhand vikas morcha (prajatantrik),Regional,Other/None
78,karnataka congress party,Regional,Other/None
79,kerala congress,Regional,Other/None
80,kerala congress (j),Regional,Other/None
81,kerala congress(m),Regional,Other/None
82,lok dal,Regional,Other/None
83,lok jan shakti party,Regional,Other/None
84,lok sewak sangh,Regional,Other/None
85,lok shakti,Regional,Other/None
86,m.g.r.anna d.m.kazhagam,Regional,Other/None
87,madhya pradesh vikas congress,Regional,Other/None
88,maharashtrawadi gomantak,Regional,Other/None
89,manipur peoples party,Regional,Other/None
90,manipur state congress party,Regional,Other/None
91,marumalarchi dravida munnetra kazhagam,Regional,Other/None
92,marxist (co-ordination),Regional,Other/None
93,mizo national front,Regional,Other/None
94,muslim leage,Regional,Other/None
95,muslim league,Regional,Other/None
96,muslim league kerala state committee,Regional,Other/None
97,naga peoples front,Regional,Other/None
98,nagaland peoples council,Regional,Other/None
99,nagaland peoples front,Regional,Other/None
100,national loktantrik party,Regional,Other/None
101,national people's party,Regional,Other/None
102,nationalist congress party,Regional,Other/None
103,nationalist democratic progressive party,Regional,Other/None
104,nutan maha gujarat janta parisha,Regional,Other/None
105,pattali makkal katchi,Regional,Other/None
106,peasants & workers party,Regional,Other/None
107,peasants and workers party of india,Regional,Other/None
108,plains tribals council of assam,Regional,Other/None
109,praja socialist party,Regional,Other/None
110,rashtriya janata dal,Regional,Other/None
111,rashtriya lok dal,Regional,Other/None
112,rashtriya lok samta party,Regional,Other/None
113,rashtriya loktantrik party,Regional,Other/None
114,republican party,Regional,Other/None
115,republican party of india,Regional,Other/None
116,republican party of india (a),Regional,Other/None
117,republican party of india (khobragade),Regional,Other/None
118,revolutionary socialist party,Regional,Other/None
119,samajwadi janata party (rashtriya),Regional,Other/None
120,samajwadi party,Regional,Other/None
121,samata party,Regional,Other/None
122,samyukta socialist party,Regional,Other/None
123,shiromani akali dal,Regional,Other/None
124,shiromani akali dal (simranjit singh mann),Regional,Other/None
125,shiv sena,Regional,Other/None
126,sikkim democratic front,Regional,Other/None
127,sikkim janata parishad,Regional,Other/None
128,sikkim krantikari morcha,Regional,Other/None
129,sikkim sangram parishad,Regional,Other/None
130,socialist,Regional,Other/None
131,swabhimani paksha,Regional,Other/None
132,swatantra,Regional,Other/None
133,tamil maanila congress (moopanar),Regional,Other/None
134,telangana praja samithi,Regional,Other/None
135,telangana rashtra samithi,Regional,Other/None
136,telugu desam,Regional,Other/None
137,united democratic front,Regional,Other/None
138,united front of nagaland,Regional,Other/None
139,united goans - seqveria group,Regional,Other/None
140,united goans democratic party,Regional,Other/None
141,united minorities front assam,Regional,Other/None
142,utkal congress,Regional,Other/None
143,viduthalai chiruthaigal katchi,Regional,Other/None
144,vishal haryana,Regional,Other/None
145,west bengal trinamool congress,Regional,Other/None
146,yuvajana sramika rythu congress party,Regional,Other/None
