turnout_id,pc_name,state,pc_code,male_electors,female_electors,male_voters,female_voters,male_turnout,female_turnout,total_electors,total_voters,total_turnout,gender_gap,turnout_category
1,andaman & nicobar islands,andaman & nicobar islands,1,142782,126578,101178,89150,70.86,70.43,269360,190328,70.66,0.43,High (65–75%)
2,adilabad,andhra pradesh,1,687389,698844,519364,526475,75.56,75.34,1386233,1045839,75.44,0.22,Very High (>75%)
3,peddapalle,andhra pradesh,2,725767,699594,520598,501586,71.73,71.7,1425361,1022184,71.71,0.03,High (65–75%)
4,karimnagar,andhra pradesh,3,777458,773376,552489,573202,71.06,74.12,1550834,1125691,72.59,-3.06,High (65–75%)
5,nizamabad,andhra pradesh,4,724504,771689,469712,564212,64.83,73.11,1496193,1033924,69.1,-8.28,High (65–75%)
6,zahirabad,andhra pradesh,5,717811,727435,546746,548060,76.17,75.34,1445246,1094806,75.75,0.83,Very High (>75%)
7,medak,andhra pradesh,6,775903,760812,606863,584233,78.21,76.79,1536715,1191096,77.51,1.42,Very High (>75%)
8,malkajgiri,andhra pradesh,7,1723413,1459912,878093,742304,50.95,50.85,3183325,1620397,50.9,0.1,Medium (50–65%)
9,secundrabad,andhra pradesh,8,1012378,881269,545749,458020,53.91,51.97,1893647,1003769,53.01,1.94,Medium (50–65%)
10,hyderabad,andhra pradesh,9,961290,862374,526510,444911,54.77,51.59,1823664,971421,53.27,3.18,Medium (50–65%)
11,chelvella,andhra pradesh,10,1153049,1032130,696749,619113,60.43,59.98,2185179,1315862,60.22,0.45,Medium (50–65%)
12,mahbubnagar,andhra pradesh,11,709711,708961,511764,503036,72.11,70.95,1418672,1014800,71.53,1.16,High (65–75%)
13,nagarkurnool,andhra pradesh,12,745038,732300,570342,538626,76.55,73.55,1477338,1108968,75.07,3.0,Very High (>75%)
14,nalgonda,andhra pradesh,13,747281,748299,602193,587206,80.58,78.47,1495580,1189399,79.53,2.11,Very High (>75%)
15,bhongir,andhra pradesh,14,756963,735288,622333,589610,82.21,80.19,1492251,1211943,81.22,2.02,Very High (>75%)
16,warangal,andhra pradesh,15,771756,766025,592484,582147,76.77,76.0,1537781,1174631,76.38,0.77,Very High (>75%)
17,mahabubabad,andhra pradesh,16,688398,698945,562073,562297,81.65,80.45,1387343,1124370,81.04,1.2,Very High (>75%)
18,khammam,andhra pradesh,17,712329,727960,588728,594169,82.65,81.62,1440289,1182897,82.13,1.03,Very High (>75%)
19,aruku,andhra pradesh,18,622416,650308,451350,458264,72.52,70.47,1272724,909614,71.47,2.05,High (65–75%)
20,srikakulam,andhra pradesh,19,706828,707161,505010,546436,71.45,77.27,1413989,1051446,74.36,-5.82,High (65–75%)
21,vizianagaram,andhra pradesh,20,700837,703290,555005,565311,79.19,80.38,1404127,1120316,79.79,-1.19,Very High (>75%)
22,visakhapatnam,andhra pradesh,21,875187,847850,585270,578288,66.87,68.21,1723037,1163558,67.53,-1.34,High (65–75%)
23,anakapalli,andhra pradesh,22,689132,712342,563818,584254,81.82,82.02,1401474,1148072,81.92,-0.2,Very High (>75%)
24,kakinada,andhra pradesh,23,709101,709189,558689,541310,78.79,76.33,1418290,1099999,77.56,2.46,Very High (>75%)
25,amalapuram,andhra pradesh,24,682607,675259,568534,552393,83.29,81.8,1357866,1120927,82.55,1.49,Very High (>75%)
26,rajahmundry,andhra pradesh,25,701707,719581,577999,576382,82.37,80.1,1421288,1154381,81.22,2.27,Very High (>75%)
27,narsapuram,andhra pradesh,26,652668,672475,539357,549594,82.64,81.73,1325143,1088951,82.18,0.91,Very High (>75%)
28,eluru,andhra pradesh,27,706916,720844,597603,604093,84.54,83.8,1427760,1201696,84.17,0.74,Very High (>75%)
29,machilipatnam,andhra pradesh,28,675774,693537,567908,573157,84.04,82.64,1369311,1141065,83.33,1.4,Very High (>75%)
30,vijayawada,andhra pradesh,29,781156,783357,602198,592877,77.09,75.68,1564513,1195075,76.39,1.41,Very High (>75%)
31,guntur,andhra pradesh,30,773027,798989,617483,627443,79.88,78.53,1572016,1244926,79.19,1.35,Very High (>75%)
32,narasaraopet,andhra pradesh,31,748465,766396,638080,643978,85.25,84.03,1514861,1282058,84.63,1.22,Very High (>75%)
33,bapatla,andhra pradesh,32,686482,706483,587223,597411,85.54,84.56,1392965,1184634,85.04,0.98,Very High (>75%)
34,ongole,andhra pradesh,33,736245,734238,603025,605200,81.91,82.43,1470483,1208225,82.17,-0.52,Very High (>75%)
35,nandyal,andhra pradesh,34,783266,793862,603562,601394,77.06,75.76,1577128,1204956,76.4,1.3,Very High (>75%)
36,kurnool,andhra pradesh,35,738791,743016,544802,520930,73.74,70.11,1481807,1065732,71.92,3.63,High (65–75%)
37,anantapur,andhra pradesh,36,775509,761403,612890,592164,79.03,77.77,1536912,1205054,78.41,1.26,Very High (>75%)
38,hindupur,andhra pradesh,37,734638,711865,601932,575325,81.94,80.82,1446503,1177257,81.39,1.12,Very High (>75%)
39,kadapa,andhra pradesh,38,765036,785543,588805,611857,76.96,77.89,1550579,1200662,77.43,-0.93,Very High (>75%)
40,nellore,andhra pradesh,39,796583,809557,593468,594180,74.5,73.4,1606140,1187648,73.94,1.1,High (65–75%)
41,tirupati,andhra pradesh,40,778778,795766,604834,608230,77.66,76.43,1574544,1213064,77.04,1.23,Very High (>75%)
42,rajampet,andhra pradesh,41,735347,752151,573019,585298,77.92,77.82,1487498,1158317,77.87,0.1,Very High (>75%)
43,chittoor,andhra pradesh,42,723996,728145,598259,600656,82.63,82.49,1452141,1198915,82.56,0.14,Very High (>75%)
44,arunachal west,arunachal pradesh,1,219334,227181,159978,175687,72.94,77.33,446515,335665,75.17,-4.39,Very High (>75%)
45,arunachal east,arunachal pradesh,2,160293,152579,129313,131978,80.67,86.5,312872,261291,83.51,-5.83,Very High (>75%)
46,karimganj,assam,1,615198,550799,482484,404436,78.43,73.43,1165997,886920,76.07,5.0,Very High (>75%)
47,silchar,assam,2,554540,505635,428949,370881,77.35,73.35,1060175,799830,75.44,4.0,Very High (>75%)
48,autonomous district,assam,3,358880,343010,279409,263871,77.86,76.93,701890,543280,77.4,0.93,Very High (>75%)
49,dhubri,assam,4,798124,754430,709191,660433,88.86,87.54,1552554,1369624,88.22,1.32,Very High (>75%)
50,kokrajhar,assam,5,776071,729405,636657,587212,82.04,80.51,1505476,1223869,81.29,1.53,Very High (>75%)
51,barpeta,assam,6,755559,674616,634405,571458,83.96,84.71,1430175,1205863,84.32,-0.75,Very High (>75%)
52,gauhati,assam,7,988067,934203,785494,726235,79.5,77.74,1922270,1511729,78.64,1.76,Very High (>75%)
53,mangaldoi,assam,8,791539,724137,651272,581965,82.28,80.37,1515676,1233237,81.37,1.91,Very High (>75%)
54,tezpur,assam,9,654866,604702,505643,475045,77.21,78.56,1259568,980688,77.86,-1.35,Very High (>75%)
55,nowgong,assam,10,792424,731457,639392,590682,80.69,80.75,1523881,1230074,80.72,-0.06,Very High (>75%)
56,kaliabor,assam,11,752785,705080,605292,561198,80.41,79.59,1457865,1166490,80.01,0.82,Very High (>75%)
57,jorhat,assam,12,634236,600212,483829,447507,76.29,74.56,1234448,931336,75.45,1.73,Very High (>75%)
58,dibrugarh,assam,13,579657,544648,462412,428556,79.77,78.68,1124305,890968,79.25,1.09,Very High (>75%)
59,lakhimpur,assam,14,735263,695731,572334,539641,77.84,77.56,1430994,1111975,77.71,0.28,Very High (>75%)
60,valmiki nagar,bihar,1,786297,670279,484621,415493,61.63,61.99,1456576,900114,61.8,-0.36,Medium (50–65%)
61,paschim champaran,bihar,2,769352,643721,469114,385686,60.98,59.92,1413073,854800,60.49,1.06,Medium (50–65%)
62,purvi champaran,bihar,3,788561,664402,442103,380568,56.06,57.28,1452963,822671,56.62,-1.22,Medium (50–65%)
63,sheohar,bihar,4,794679,695045,433416,409478,54.54,58.91,1489724,842894,56.58,-4.37,Medium (50–65%)
64,sitamarhi,bihar,5,832370,742544,449303,451285,53.98,60.78,1574914,900588,57.18,-6.8,Medium (50–65%)
65,madhubani,bihar,6,877284,750685,413878,446575,47.18,59.49,1627969,860453,52.85,-12.31,Medium (50–65%)
66,jhanjharpur,bihar,7,884884,765869,452082,489167,51.09,63.87,1650753,941249,57.02,-12.78,Medium (50–65%)
67,supaul,bihar,8,796979,728613,468183,502345,58.74,68.95,1525592,970528,63.62,-10.21,Medium (50–65%)
68,araria,bihar,9,842884,744464,492492,483319,58.43,64.92,1587348,975811,61.47,-6.49,Medium (50–65%)
69,kishanganj,bihar,10,762877,676113,471209,457281,61.77,67.63,1438990,928490,64.52,-5.86,Medium (50–65%)
70,katihar,bihar,11,769044,677434,495564,482266,64.44,71.19,1446478,977830,67.6,-6.75,High (65–75%)
71,purnia,bihar,12,833610,749357,511512,506220,61.36,67.55,1582967,1017732,64.29,-6.19,Medium (50–65%)
