result_id,constituency_id,year_id,party_id,candidate_id,turnout_id,votes,electors,margin,marginpct,turnout,won
1,1,1,53,0,2,220383,404283,89085,40.4,54.5,1
2,985,1,53,0,2,220383,404283,89085,40.4,54.5,1
3,2,1,53,0,0,252379,419077,33022,13.1,60.2,1
4,3,1,53,0,434,275663,433164,54351,19.7,63.6,1
5,986,1,53,0,434,275663,433164,54351,19.7,63.6,1
6,4,1,104,0,0,270346,433392,21592,8.0,62.4,1
7,5,1,53,0,0,222091,403913,14038,6.3,55.0,1
8,6,1,53,0,362,241488,432778,32143,13.3,55.8,1
9,7,1,53,0,460,216781,430435,45246,20.9,50.4,1
10,914,1,53,0,460,216781,430435,45246,20.9,50.4,1
11,8,1,53,0,259,303530,450141,47169,15.5,67.4,1
12,9,1,114,0,431,255696,466414,3025,1.2,54.8,1
13,10,1,53,0,468,245210,446090,68533,27.9,55.0,1
14,11,1,53,0,0,109588,401359,26998,24.6,27.3,1
15,12,1,54,0,357,283094,451563,23116,8.2,62.7,1
16,13,1,53,0,0,336739,478247,12570,3.7,70.4,1
17,14,1,53,0,0,271449,439952,35834,13.2,61.7,1
18,15,1,39,0,0,334846,445802,11233,3.4,75.1,1
19,16,1,53,0,260,349649,475329,60372,17.3,73.6,1
20,993,1,53,0,260,349649,475329,60372,17.3,73.6,1
21,17,1,53,0,129,226282,418212,65018,28.7,54.1,1
22,18,1,53,0,338,322823,457869,14416,4.5,70.5,1
23,19,1,53,0,425,235491,423038,17192,7.3,55.7,1
24,20,1,53,0,23,265407,427862,16010,6.0,62.0,1
25,21,1,132,0,131,326364,472873,22729,7.0,69.0,1
26,22,1,53,0,0,301105,467475,24868,8.3,64.4,1
27,23,1,44,0,0,350870,496604,19853,5.7,70.7,1
28,24,1,53,0,541,188992,454700,8844,4.7,41.6,1
29,735,1,53,0,541,188992,454700,8844,4.7,41.6,1
30,25,1,132,0,96,171300,409761,9761,5.7,41.8,0
31,26,1,53,0,272,229660,455034,68350,29.8,50.5,1
32,27,1,53,0,0,233065,498990,23689,10.2,46.7,1
33,28,1,51,0,0,153235,320132,35149,22.9,47.9,1
34,29,1,53,0,485,220038,437772,11396,5.2,50.3,1
35,917,1,53,0,485,220038,437772,11396,5.2,50.3,1
36,30,1,54,0,0,343312,463498,72907,21.2,74.1,1
37,31,1,53,0,0,188598,385005,17174,9.1,49.0,1
38,504,1,53,0,0,188598,385005,17174,9.1,49.0,1
39,32,1,132,0,472,173376,443936,2225,1.3,39.1,1
40,918,1,132,0,472,173376,443936,2225,1.3,39.1,1
41,33,1,109,0,239,187906,415891,2892,1.5,45.2,1
42,919,1,109,0,239,187906,415891,2892,1.5,45.2,1
43,34,1,53,0,0,158368,426296,29559,18.7,37.2,1
44,739,1,53,0,0,158368,426296,29559,18.7,37.2,1
45,35,1,53,0,488,219215,425638,35793,16.3,51.5,1
46,36,1,53,0,0,135792,427546,33006,24.3,31.8,1
47,37,1,53,0,0,244330,466671,2052,0.8,52.4,1
